goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,2,Sub,Fiorentina,Juventus,2,0,2022-05-21,17127,2021,537328,0,0,0,0,0,0,0,1227,Lucas Torreira
0,0,0,76,MC,Sampdoria,Fiorentina,4,1,2022-05-16,17124,2021,536676,0.07884267717599869,0,1,0,0,0.2978799641132355,0.2190372794866562,1227,Lucas Torreira
0,0,0,22,Sub,AC Milan,Fiorentina,1,0,2022-05-01,17100,2021,531130,0,0,0,0,0,0.060978107154369354,0.060978107154369354,1227,Lucas Torreira
0,1,0.13050304353237152,90,MC,Fiorentina,Udinese,0,4,2022-04-27,16948,2021,529900,0.23917078971862793,0,2,0,0.13050304353237152,0.7882987856864929,0.549127995967865,1227,Lucas Torreira
1,3,1.1379859447479248,90,MC,Fiorentina,Venezia,1,0,2022-04-16,17078,2021,526489,0.09266699850559235,0,2,1,1.1379859447479248,0.4170137643814087,0.4170137643814087,1227,Lucas Torreira
0,3,0.14947819709777832,75,MC,Fiorentina,Empoli,1,0,2022-04-03,17057,2021,523168,0,0,0,0,0.14947819709777832,0.19548505544662476,0.19548505544662476,1227,Lucas Torreira
1,1,0.14631253480911255,90,MC,Inter,Fiorentina,1,1,2022-03-19,17050,2021,521375,0,0,0,1,0.14631253480911255,0.3214292824268341,0.17511673271656036,1227,Lucas Torreira
1,3,1.757795810699463,90,MC,Fiorentina,Bologna,1,0,2022-03-13,17037,2021,519746,0.052436843514442444,0,1,1,1.757795810699463,2.031928777694702,0.24215343594551086,1227,Lucas Torreira
0,3,0.8586298227310181,76,MC,Fiorentina,Verona,1,1,2022-03-06,17028,2021,518244,0,0,0,0,0.8586298227310181,0.9476945400238037,0.08906471729278564,1227,Lucas Torreira
0,0,0,5,Sub,Sassuolo,Fiorentina,2,1,2022-02-26,17023,2021,516333,0,0,0,0,0,0.6988111138343811,0.6988111138343811,1227,Lucas Torreira
0,0,0,37,MC,Fiorentina,Atalanta,1,0,2022-02-20,17008,2021,514594,0,0,0,0,0,0,0,1227,Lucas Torreira
0,3,0.1069672480225563,86,MC,Fiorentina,Lazio,0,3,2022-02-05,16988,2021,511334,0,0,0,0,0.1069672480225563,0.41654661297798157,0.33755630254745483,1227,Lucas Torreira
0,1,0.29656532406806946,90,MC,Cagliari,Fiorentina,1,1,2022-01-23,16976,2021,510077,0.20578959584236145,0,3,0,0.29656532406806946,0.9698754549026489,0.804379403591156,1227,Lucas Torreira
1,3,0.5756406188011169,82,MC,Fiorentina,Genoa,6,0,2022-01-17,16968,2021,508856,0.014628595672547817,0,1,1,0.5756406188011169,2.0317602157592773,1.4561196565628052,1227,Lucas Torreira
0,0,0,90,MC,Torino,Fiorentina,4,0,2022-01-10,16963,2021,507662,0.03623161464929581,0,1,0,0,0.1420661062002182,0.1058344841003418,1227,Lucas Torreira
0,1,0.034809526056051254,90,MC,Verona,Fiorentina,1,1,2021-12-22,16938,2021,504650,0.03206624463200569,0,1,0,0.034809526056051254,0.48611608147621155,0.45404982566833496,1227,Lucas Torreira
1,2,0.28634265065193176,90,MC,Fiorentina,Sassuolo,2,2,2021-12-19,16929,2021,503941,0.3043030798435211,1,1,1,0.28634265065193176,0.8327946066856384,0.24214887619018555,1227,Lucas Torreira
0,0,0,90,MC,Fiorentina,Salernitana,4,0,2021-12-11,16916,2021,501463,0.12426477670669556,0,1,0,0,0.8714718222618103,0.7472070455551147,1227,Lucas Torreira
0,0,0,86,MC,Bologna,Fiorentina,2,3,2021-12-05,16906,2021,500347,0.056503504514694214,0,2,0,0,0.056503504514694214,0.035682886838912964,1227,Lucas Torreira
0,0,0,90,MC,Fiorentina,Sampdoria,3,1,2021-11-30,16898,2021,498616,0.4545518159866333,0,1,0,0,1.0886160135269165,0.634064257144928,1227,Lucas Torreira
0,0,0,88,MC,Empoli,Fiorentina,2,1,2021-11-27,16887,2021,497183,0.01311307679861784,0,1,0,0,0.5619738101959229,0.5619738101959229,1227,Lucas Torreira
0,0,0,90,MC,Fiorentina,AC Milan,4,3,2021-11-20,16878,2021,496091,0.049075473099946976,0,1,0,0,0.049075473099946976,0,1227,Lucas Torreira
0,0,0,68,MC,Juventus,Fiorentina,1,0,2021-11-06,16868,2021,494160,0,0,0,0,0,0.1377141922712326,0.1377141922712326,1227,Lucas Torreira
0,1,0.05546657741069794,77,MC,Fiorentina,Spezia,3,0,2021-10-31,16858,2021,492847,0.03955438360571861,0,1,0,0.05546657741069794,0.3737245798110962,0.31825801730155945,1227,Lucas Torreira
0,1,0.06841979920864105,90,MC,Lazio,Fiorentina,1,0,2021-10-27,16849,2021,491596,0,0,0,0,0.06841979920864105,0.25903162360191345,0.1906118094921112,1227,Lucas Torreira
