goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,2,0.04725702106952667,13,FW,Angers,Paris Saint Germain,0,3,2022-04-20,18142,2021,527950,0,0,0,0,0.04725702106952667,0.04725702106952667,0,1734,Sofiane Boufal
1,4,0.19038109481334686,88,FW,Nantes,Angers,1,1,2022-04-17,18136,2021,526937,0.07599294185638428,0,2,1,0.19038109481334686,0.2202424257993698,0.029861321672797203,1734,Sofiane Boufal
0,4,0.27104467153549194,90,AMC,Angers,Lille,1,1,2022-04-10,18122,2021,525341,0.18796555697917938,0,3,0,0.27104467153549194,0.3642243444919586,0.021289238706231117,1734,Sofiane Boufal
1,1,0.506074845790863,84,FW,Lyon,Angers,3,2,2022-04-03,18114,2021,523604,0.4961734414100647,0,1,1,0.506074845790863,1.0022482872009277,0.506074845790863,1734,Sofiane Boufal
1,2,0.7759082913398743,90,AMC,Angers,Brest,1,0,2022-03-20,18102,2021,521816,0.15091238915920258,0,3,0,0.015813138335943222,0.30159953236579895,0.15859557688236237,1734,Sofiane Boufal
0,2,0.05607892572879791,90,AML,Angers,Reims,0,1,2022-03-13,18092,2021,519872,0.15062429010868073,0,3,0,0.05607892572879791,0.204194575548172,0.08605222404003143,1734,Sofiane Boufal
0,1,0.03276543691754341,89,FW,Rennes,Angers,2,0,2022-03-06,18083,2021,518143,0,0,0,0,0.03276543691754341,0.03276543691754341,0,1734,Sofiane Boufal
0,4,0.2821403741836548,90,FW,Angers,Lens,1,2,2022-02-27,18077,2021,516641,0.03341708332300186,1,1,0,0.2821403741836548,0.13464482128620148,0.035794563591480255,1734,Sofiane Boufal
0,3,0.14394034445285797,90,ML,Nice,Angers,1,0,2022-02-20,18069,2021,514643,0.1294931173324585,0,2,0,0.14394034445285797,0.7573228478431702,0.5825495719909668,1734,Sofiane Boufal
0,3,0.05898613855242729,90,FW,Angers,Strasbourg,0,1,2022-02-13,18056,2021,513221,0.13807833194732666,0,3,0,0.05898613855242729,0.11238887906074524,0,1734,Sofiane Boufal
0,0,0,90,FW,Marseille,Angers,5,2,2022-02-04,18046,2021,510926,0.549424946308136,0,2,0,0,0.6112353205680847,0.06181042268872261,1734,Sofiane Boufal
0,4,0.07762977480888367,90,FW,Montpellier,Angers,4,1,2021-12-22,18008,2021,504828,0.22536656260490417,0,2,0,0.07762977480888367,0.43884626030921936,0.17418111860752106,1734,Sofiane Boufal
0,3,0.17973411083221436,90,FW,Angers,Clermont Foot,0,1,2021-12-12,17994,2021,502376,0.05007902532815933,0,2,0,0.17973411083221436,0.22348111867904663,0.04243060201406479,1734,Sofiane Boufal
1,4,0.8604362607002258,90,FW,Reims,Angers,1,2,2021-12-05,17984,2021,500737,0.4074481129646301,1,4,0,0.10034114122390747,0.6566616296768188,0.1709602177143097,1734,Sofiane Boufal
0,1,0.0071168942376971245,83,FW,Angers,Monaco,1,3,2021-12-01,17972,2021,498828,0.737061083316803,0,3,0,0.0071168942376971245,0.24278926849365234,0.19289138913154602,1734,Sofiane Boufal
1,4,1.3416948318481445,90,FW,Lens,Angers,2,2,2021-11-26,17965,2021,497010,0.03429774194955826,0,1,1,1.3416948318481445,1.3353500366210938,0.012590417638421059,1734,Sofiane Boufal
0,3,0.25550010800361633,90,FW,Angers,Lorient,1,0,2021-11-21,17952,2021,496422,0.3809766471385956,0,2,0,0.25550010800361633,0.27507126331329346,0,1734,Sofiane Boufal
0,2,0.21023625135421753,90,FW,Lille,Angers,1,1,2021-11-06,17944,2021,494104,0.35618728399276733,0,3,0,0.21023625135421753,0.5746749639511108,0.46936753392219543,1734,Sofiane Boufal
1,2,0.9078207015991211,90,FW,Angers,Nice,1,2,2021-10-31,17932,2021,492729,0,0,0,0,0.14772555232048035,0.14772555232048035,0,1734,Sofiane Boufal
0,0,0,90,FW,Saint-Etienne,Angers,2,2,2021-10-22,17931,2021,489629,0.4226159453392029,1,1,0,0,0,0,1734,Sofiane Boufal
0,0,0,77,FW,Paris Saint Germain,Angers,2,1,2021-10-15,17919,2021,487798,0.728020191192627,1,3,0,0,1.0639160871505737,0.3854532241821289,1734,Sofiane Boufal
0,6,0.2843840718269348,87,FW,Angers,Metz,3,2,2021-10-03,17902,2021,487112,0.08830670267343521,0,2,0,0.2843840718269348,0.30369481444358826,0.09081719815731049,1734,Sofiane Boufal
0,0,0,19,Sub,Troyes,Angers,1,1,2021-09-26,17901,2021,485426,0,0,0,0,0,0.0130376648157835,0.0130376648157835,1734,Sofiane Boufal
0,1,0.05719559267163277,90,FWL,Angers,Nantes,1,4,2021-09-19,17874,2021,482736,0.033346954733133316,0,1,0,0.05719559267163277,0.055064838379621506,0.02171788364648819,1734,Sofiane Boufal
0,1,0.05413694307208061,88,FW,Brest,Angers,1,1,2021-09-12,17866,2021,480918,0.09363025426864624,0,3,0,0.05413694307208061,0.12761615216732025,0.07347920536994934,1734,Sofiane Boufal
1,3,0.7695712447166443,77,FW,Angers,Rennes,2,0,2021-08-29,17857,2021,479485,0.03188052773475647,0,1,1,0.7695712447166443,0.9206359386444092,0.2019159495830536,1734,Sofiane Boufal
0,1,0.09568426012992859,64,FW,Bordeaux,Angers,1,1,2021-08-22,17847,2021,477671,0.02086091786623001,0,1,0,0.09568426012992859,0.09568426012992859,0,1734,Sofiane Boufal
1,2,0.35315296053886414,77,AMC,Angers,Lyon,3,0,2021-08-15,17835,2021,475962,0.8238884806632996,0,3,1,0.35315296053886414,0.417927622795105,0,1734,Sofiane Boufal
0,0,0,70,AMC,Strasbourg,Angers,0,2,2021-08-08,17827,2021,474860,0.10139075666666031,0,2,0,0,0.03363237902522087,0,1734,Sofiane Boufal
0,0,0,26,Sub,Brest,Angers,0,0,2021-03-21,16052,2020,458526,0.03529461845755577,0,1,0,0,0.03153269365429878,0.03153269365429878,1734,Sofiane Boufal
0,1,0.04385241121053696,71,AML,Angers,Saint-Etienne,0,1,2021-03-13,16036,2020,456065,0,0,0,0,0.04385241121053696,0.04385241121053696,0,1734,Sofiane Boufal
0,2,0.06772004812955856,78,ML,Metz,Angers,0,1,2021-03-03,16030,2020,453721,0,0,0,0,0.06772004812955856,0.13096053898334503,0.09875060617923737,1734,Sofiane Boufal
0,1,0.36509647965431213,84,AML,Angers,Lens,2,2,2021-02-28,16016,2020,453062,0,0,0,0,0.36509647965431213,0.36509647965431213,0,1734,Sofiane Boufal
0,0,0,17,Sub,Strasbourg,Angers,0,0,2021-02-21,16015,2020,451291,0,0,0,0,0,0,0,1734,Sofiane Boufal
0,2,0.6105087399482727,82,AML,Angers,Nantes,1,3,2021-02-14,15996,2020,449673,0,0,0,0,0.6105087399482727,0.6654806137084961,0.054971832782030106,1734,Sofiane Boufal
