goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,90,DR,Valencia,Celta Vigo,2,0,2022-05-21,17513,2021,537220,0.01133818831294775,0,1,0,0,0.044920824468135834,0.03358263522386551,2509,Dimitri Foulquier
0,0,0,90,DC,Espanyol,Valencia,1,1,2022-05-15,17503,2021,536545,0.1330321729183197,0,2,0,0,0.1330321729183197,0.02809039317071438,2509,Dimitri Foulquier
0,1,0.053202398121356964,90,DC,Valencia,Real Betis,0,3,2022-05-10,17493,2021,534527,0,0,0,0,0.053202398121356964,0.08655638247728348,0.08655638247728348,2509,Dimitri Foulquier
0,0,0,90,DC,Athletic Club,Valencia,0,0,2022-05-07,17476,2021,532688,0,0,0,0,0,0,0,2509,Dimitri Foulquier
0,0,0,11,Sub,Valencia,Levante,1,1,2022-04-30,17473,2021,530746,0,0,0,0,0,0,0,2509,Dimitri Foulquier
0,2,0.0936831384897232,90,DR,Valencia,Osasuna,1,2,2022-04-16,17454,2021,526604,0.09221967309713364,0,2,0,0.0936831384897232,0.07608283311128616,0.02016887068748474,2509,Dimitri Foulquier
0,0,0,43,Sub,Rayo Vallecano,Valencia,1,1,2022-04-11,17443,2021,525872,0,0,0,0,0,0,0,2509,Dimitri Foulquier
0,0,0,90,DR,Elche,Valencia,0,1,2022-03-19,17425,2021,521274,0,0,0,0,0,0,0,2509,Dimitri Foulquier
0,2,0.06518185883760452,90,DMR,Getafe,Valencia,0,0,2022-03-12,17410,2021,519642,0,0,0,0,0.06518185883760452,0.05365516617894173,0,2509,Dimitri Foulquier
0,0,0,90,DR,Valencia,Granada,3,1,2022-03-05,17404,2021,517784,0,0,0,0,0,0,0,2509,Dimitri Foulquier
0,2,0.10038356482982635,90,ML,Mallorca,Valencia,0,1,2022-02-26,17388,2021,515769,0,0,0,0,0.10038356482982635,0.10038356482982635,0,2509,Dimitri Foulquier
0,1,0.010847454890608788,90,DR,Valencia,Barcelona,1,4,2022-02-20,17384,2021,514895,0,0,0,0,0.010847454890608788,0.31318598985671997,0.30233854055404663,2509,Dimitri Foulquier
0,0,0,11,Sub,Alaves,Valencia,2,1,2022-02-13,17366,2021,513088,0,0,0,0,0,0,0,2509,Dimitri Foulquier
0,0,0,90,DC,Valencia,Real Sociedad,0,0,2022-02-06,17364,2021,511485,0,0,0,0,0,0,0,2509,Dimitri Foulquier
0,1,0.010283272713422775,90,DC,Atletico Madrid,Valencia,3,2,2022-01-22,17347,2021,510041,0.042408961802721024,0,1,0,0.010283272713422775,0.0526922345161438,0,2509,Dimitri Foulquier
0,2,0.07847648859024048,90,MC,Valencia,Sevilla,1,1,2022-01-19,17344,2021,509219,0.06730537861585617,0,1,0,0.07847648859024048,0.14578187465667725,0,2509,Dimitri Foulquier
0,1,0.041657377034425735,90,DR,Valencia,Elche,2,1,2021-12-11,17304,2021,501879,0.07080429047346115,0,1,0,0.041657377034425735,0.629794180393219,0.5173324942588806,2509,Dimitri Foulquier
0,1,0.055018384009599686,90,DR,Valencia,Rayo Vallecano,1,1,2021-11-27,17284,2021,497458,0,0,0,0,0.055018384009599686,0.088461734354496,0.033443354070186615,2509,Dimitri Foulquier
0,1,0.07321253418922424,90,DR,Real Sociedad,Valencia,0,0,2021-11-21,17272,2021,496816,0,0,0,0,0.07321253418922424,0.07321253418922424,0.07321253418922424,2509,Dimitri Foulquier
0,1,0.013871928676962852,90,DR,Valencia,Atletico Madrid,3,3,2021-11-07,17264,2021,494793,0,0,0,0,0.013871928676962852,0.10298243165016174,0.08911050111055374,2509,Dimitri Foulquier
0,0,0,90,DR,Valencia,Villarreal,2,0,2021-10-30,17247,2021,492501,0.29262417554855347,1,1,0,0,0.29262417554855347,0,2509,Dimitri Foulquier
0,0,0,90,DR,Real Betis,Valencia,4,1,2021-10-27,17241,2021,491499,0,0,0,0,0,0.45729702711105347,0.45729702711105347,2509,Dimitri Foulquier
0,0,0,79,DR,Valencia,Mallorca,2,2,2021-10-23,17228,2021,489691,0.043737661093473434,0,1,0,0,0.043737661093473434,0,2509,Dimitri Foulquier
