goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
1,3,0.7967010736465454,90,FW,Brest,Bordeaux,2,4,2022-05-21,18200,2021,537633,0,0,0,1,0.7967010736465454,0.7856051921844482,0,3800,Steve Mounie
0,1,0.06086978316307068,22,Sub,Monaco,Brest,4,2,2022-05-14,18189,2021,535873,0,0,0,0,0.06086978316307068,0.06086978316307068,0,3800,Steve Mounie
0,2,0.04897242784500122,90,FW,Brest,Strasbourg,0,1,2022-05-07,18181,2021,532739,0.02603159286081791,0,1,0,0.04897242784500122,0.06864476948976517,0.018938805907964706,3800,Steve Mounie
1,4,0.2147064059972763,88,FW,Brest,Clermont Foot,2,0,2022-05-01,18171,2021,530994,0,0,0,1,0.2147064059972763,0.18337701261043549,0.018038185313344002,3800,Steve Mounie
0,2,0.5487456917762756,63,FW,Metz,Brest,0,1,2022-04-24,18155,2021,529403,0,0,0,0,0.5487456917762756,1.187257170677185,0.7042854428291321,3800,Steve Mounie
1,2,0.8624201416969299,90,FW,Brest,Lyon,2,1,2022-04-20,18144,2021,527982,0.06056589633226395,0,2,0,0.10232501477003098,0.21163815259933472,0.048747237771749496,3800,Steve Mounie
0,2,0.26055842638015747,90,FW,Saint-Etienne,Brest,2,1,2022-04-16,18140,2021,526537,0.0908479318022728,1,1,0,0.26055842638015747,0.4163038432598114,0.08493672311306,3800,Steve Mounie
0,2,0.17117087543010712,27,Sub,Brest,Nantes,1,1,2022-04-10,18124,2021,525373,0,0,0,0,0.17117087543010712,0.11100663989782333,0.05178799480199814,3800,Steve Mounie
0,0,0,5,Sub,Montpellier,Brest,1,2,2022-04-03,18116,2021,523433,0,0,0,0,0,0,0,3800,Steve Mounie
0,2,0.047147441655397415,62,FW,Angers,Brest,1,0,2022-03-20,18102,2021,521832,0,0,0,0,0.047147441655397415,0.047147441655397415,0.019937628880143166,3800,Steve Mounie
0,0,0,24,Sub,Brest,Marseille,1,4,2022-03-13,18093,2021,520494,0,0,0,0,0,0,0,3800,Steve Mounie
0,0,0,13,Sub,Lens,Brest,0,1,2022-03-05,18086,2021,517719,0,0,0,0,0,0,0,3800,Steve Mounie
0,0,0,14,Sub,Brest,Lorient,0,1,2022-02-27,18081,2021,516556,0,0,0,0,0,0,0,3800,Steve Mounie
